Nome: Aluno_99, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_86, Disciplina: Disciplina_1, Situação: Reprovado
Nome: Aluno_23, Disciplina: Disciplina_5, Situação: Reprovado
Nome: Aluno_79, Disciplina: Disciplina_4, Situação: Reprovado
Nome: Aluno_20, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_41, Disciplina: Disciplina_5, Situação: Reprovado
Nome: Aluno_69, Disciplina: Disciplina_4, Situação: Reprovado
Nome: Aluno_47, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_82, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_86, Disciplina: Disciplina_5, Situação: Reprovado
Nome: Aluno_96, Disciplina: Disciplina_1, Situação: Reprovado
Nome: Aluno_26, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_55, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_92, Disciplina: Disciplina_1, Situação: Reprovado
Nome: Aluno_67, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_67, Disciplina: Disciplina_5, Situação: Reprovado
Nome: Aluno_79, Disciplina: Disciplina_2, Situação: Reprovado
Nome: Aluno_76, Disciplina: Disciplina_2, Situação: Reprovado
Nome: Aluno_24, Disciplina: Disciplina_5, Situação: Reprovado
Nome: Aluno_10, Disciplina: Disciplina_5, Situação: Reprovado
Nome: Aluno_9, Disciplina: Disciplina_1, Situação: Reprovado
Nome: Aluno_63, Disciplina: Disciplina_1, Situação: Reprovado
Nome: Aluno_10, Disciplina: Disciplina_4, Situação: Reprovado
Nome: Aluno_54, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_53, Disciplina: Disciplina_1, Situação: Reprovado
Nome: Aluno_33, Disciplina: Disciplina_2, Situação: Reprovado
Nome: Aluno_84, Disciplina: Disciplina_1, Situação: Reprovado
Nome: Aluno_77, Disciplina: Disciplina_5, Situação: Reprovado
Nome: Aluno_82, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_19, Disciplina: Disciplina_2, Situação: Reprovado
Nome: Aluno_91, Disciplina: Disciplina_4, Situação: Reprovado
Nome: Aluno_37, Disciplina: Disciplina_2, Situação: Reprovado
Nome: Aluno_28, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_18, Disciplina: Disciplina_3, Situação: Reprovado
Nome: Aluno_21, Disciplina: Disciplina_2, Situação: Reprovado
Nome: Aluno_32, Disciplina: Disciplina_5, Situação: Reprovado
Nome: Aluno_92, Disciplina: Disciplina_4, Situação: Reprovado
Nome: Aluno_19, Disciplina: Disciplina_1, Situação: Reprovado
Nome: Aluno_37, Disciplina: Disciplina_1, Situação: Reprovado
Nome: Aluno_45, Disciplina: Disciplina_2, Situação: Reprovado
