Nome: Aluno_99, Disciplina: Disciplina_3, Nota1: 2.51, Nota2: 93.64, Nota3: 71.38
Nome: Aluno_86, Disciplina: Disciplina_1, Nota1: 3.80, Nota2: 36.94, Nota3: 23.75
Nome: Aluno_23, Disciplina: Disciplina_5, Nota1: 44.98, Nota2: 6.12, Nota3: 15.68
Nome: Aluno_79, Disciplina: Disciplina_4, Nota1: 46.54, Nota2: 7.40, Nota3: 29.79
Nome: Aluno_20, Disciplina: Disciplina_3, Nota1: 38.15, Nota2: 19.56, Nota3: 42.35
Nome: Aluno_41, Disciplina: Disciplina_5, Nota1: 48.18, Nota2: 33.91, Nota3: 12.32
Nome: Aluno_69, Disciplina: Disciplina_4, Nota1: 29.12, Nota2: 10.14, Nota3: 63.06
Nome: Aluno_47, Disciplina: Disciplina_3, Nota1: 26.91, Nota2: 17.36, Nota3: 42.25
Nome: Aluno_82, Disciplina: Disciplina_3, Nota1: 60.49, Nota2: 56.11, Nota3: 7.72
Nome: Aluno_86, Disciplina: Disciplina_5, Nota1: 2.88, Nota2: 81.35, Nota3: 55.65
Nome: Aluno_96, Disciplina: Disciplina_1, Nota1: 23.71, Nota2: 84.64, Nota3: 18.80
Nome: Aluno_26, Disciplina: Disciplina_3, Nota1: 41.74, Nota2: 42.38, Nota3: 34.51
Nome: Aluno_92, Disciplina: Disciplina_4, Nota1: 48.78, Nota2: 86.57, Nota3: 61.90
Nome: Aluno_55, Disciplina: Disciplina_3, Nota1: 77.37, Nota2: 59.75, Nota3: 13.40
Nome: Aluno_92, Disciplina: Disciplina_1, Nota1: 65.65, Nota2: 50.07, Nota3: 22.06
Nome: Aluno_67, Disciplina: Disciplina_3, Nota1: 65.56, Nota2: 37.54, Nota3: 21.36
Nome: Aluno_67, Disciplina: Disciplina_5, Nota1: 20.64, Nota2: 44.55, Nota3: 10.60
Nome: Aluno_79, Disciplina: Disciplina_2, Nota1: 91.79, Nota2: 19.34, Nota3: 12.08
Nome: Aluno_76, Disciplina: Disciplina_2, Nota1: 10.07, Nota2: 3.89, Nota3: 63.26
Nome: Aluno_10, Disciplina: Disciplina_5, Nota1: 76.27, Nota2: 85.34, Nota3: 42.66
Nome: Aluno_24, Disciplina: Disciplina_5, Nota1: 4.91, Nota2: 66.15, Nota3: 32.83
Nome: Aluno_10, Disciplina: Disciplina_5, Nota1: 64.16, Nota2: 18.20, Nota3: 93.06
Nome: Aluno_9, Disciplina: Disciplina_1, Nota1: 2.53, Nota2: 34.14, Nota3: 34.87
Nome: Aluno_63, Disciplina: Disciplina_1, Nota1: 38.03, Nota2: 6.67, Nota3: 77.11
Nome: Aluno_10, Disciplina: Disciplina_4, Nota1: 11.96, Nota2: 25.87, Nota3: 93.22
Nome: Aluno_54, Disciplina: Disciplina_3, Nota1: 4.97, Nota2: 87.37, Nota3: 83.53
Nome: Aluno_53, Disciplina: Disciplina_1, Nota1: 71.68, Nota2: 45.98, Nota3: 33.79
Nome: Aluno_51, Disciplina: Disciplina_1, Nota1: 66.96, Nota2: 45.91, Nota3: 72.93
Nome: Aluno_33, Disciplina: Disciplina_2, Nota1: 73.09, Nota2: 37.88, Nota3: 12.26
Nome: Aluno_59, Disciplina: Disciplina_2, Nota1: 84.41, Nota2: 11.77, Nota3: 88.58
Nome: Aluno_84, Disciplina: Disciplina_1, Nota1: 9.92, Nota2: 27.51, Nota3: 27.16
Nome: Aluno_29, Disciplina: Disciplina_3, Nota1: 85.04, Nota2: 85.11, Nota3: 10.31
Nome: Aluno_77, Disciplina: Disciplina_5, Nota1: 67.97, Nota2: 78.11, Nota3: 24.48
Nome: Aluno_82, Disciplina: Disciplina_3, Nota1: 13.60, Nota2: 96.00, Nota3: 3.53
Nome: Aluno_19, Disciplina: Disciplina_2, Nota1: 6.82, Nota2: 57.81, Nota3: 21.87
Nome: Aluno_27, Disciplina: Disciplina_2, Nota1: 99.32, Nota2: 21.81, Nota3: 85.56
Nome: Aluno_91, Disciplina: Disciplina_4, Nota1: 49.05, Nota2: 64.92, Nota3: 44.68
Nome: Aluno_37, Disciplina: Disciplina_2, Nota1: 16.74, Nota2: 21.04, Nota3: 31.72
Nome: Aluno_66, Disciplina: Disciplina_5, Nota1: 56.49, Nota2: 36.08, Nota3: 89.29
Nome: Aluno_28, Disciplina: Disciplina_3, Nota1: 14.73, Nota2: 86.04, Nota3: 39.11
Nome: Aluno_18, Disciplina: Disciplina_3, Nota1: 6.63, Nota2: 20.38, Nota3: 81.61
Nome: Aluno_21, Disciplina: Disciplina_2, Nota1: 13.82, Nota2: 59.88, Nota3: 58.72
Nome: Aluno_100, Disciplina: Disciplina_2, Nota1: 89.78, Nota2: 25.88, Nota3: 79.19
Nome: Aluno_39, Disciplina: Disciplina_5, Nota1: 84.08, Nota2: 38.29, Nota3: 91.42
Nome: Aluno_40, Disciplina: Disciplina_4, Nota1: 80.76, Nota2: 80.83, Nota3: 28.40
Nome: Aluno_32, Disciplina: Disciplina_5, Nota1: 51.87, Nota2: 17.93, Nota3: 55.49
Nome: Aluno_92, Disciplina: Disciplina_4, Nota1: 30.39, Nota2: 2.76, Nota3: 53.62
Nome: Aluno_19, Disciplina: Disciplina_1, Nota1: 22.22, Nota2: 8.66, Nota3: 26.17
Nome: Aluno_37, Disciplina: Disciplina_1, Nota1: 3.93, Nota2: 10.50, Nota3: 77.23
Nome: Aluno_45, Disciplina: Disciplina_2, Nota1: 33.25, Nota2: 56.23, Nota3: 42.98
